"","subID","condition","Hz","frontal","central","parietal","occipital","ln_Hz","ln_frontal","ln_central","ln_parietal","ln_occipital"
"208","oa23","oa23",2.991,1.33712,1.07033333333333,0.8751,0.836966666666667,1.09560777964781,0.290518047270989,0.0679701264392672,-0.133417113440352,-0.177971034056697
"209","oa23","oa23",3.988,0.70074,0.663233333333333,0.52678,0.581933333333333,1.38328985209959,-0.355618359463608,-0.410628415065044,-0.640972274905836,-0.541399385348997
"210","oa23","oa23",4.985,0.39404,0.3884,0.33286,0.412666666666667,1.6064334034138,-0.931302851994659,-0.945719542564967,-1.10003329782356,-0.885115114405705
"211","oa23","oa23",0.997,26.46894,18.441,14.04672,20.1814666666667,-0.00300450902029872,3.27597197010283,2.91457644659298,2.64238891656831,3.00476469150481
"212","oa23","oa23",1.994,4.86328,3.90443333333333,3.708,4.12093333333333,0.690142671539647,1.5817131073911,1.36211265965886,1.31049264770361,1.41607967492258
"213","oa23","oa23",2.991,1.6895,1.65703333333333,1.43754,1.2296,1.09560777964781,0.524432627172208,0.505028854918813,0.362933319389187,0.206688913242249
"214","oa23","oa23",3.988,1.0926,1.19153333333333,0.94832,0.8867,1.38328985209959,0.0885601769794802,0.175240993106031,-0.053063280942609,-0.120248572596176
"215","oa23","oa23",4.985,0.78196,0.8487,0.71362,0.6782,1.6064334034138,-0.245951690640218,-0.164049512006506,-0.337404671203254,-0.388313049290599
"216","oa24","oa24",0.997,66.35288,33.403,27.23118,43.9387666666667,-0.00300450902029872,4.19498716601555,3.50864571630833,3.30436264030423,3.78279699798417
"217","oa24","oa24",1.994,19.00014,9.36743333333333,6.23544,6.7896,0.690142671539647,2.94444634756035,2.23723913485583,1.83024914600858,1.91539202967333
"218","oa24","oa24",2.991,4.62926,2.84323333333333,2.2369,2.43523333333333,1.09560777964781,1.53239702811059,1.04494190222872,0.80509097878193,0.890042576721202
"219","oa24","oa24",3.988,2.68686,1.93196666666667,1.65844,1.84926666666667,1.38328985209959,0.988373225559176,0.658538482363364,0.505877401481941,0.614789164108017
"220","oa24","oa24",4.985,1.45826,1.32203333333333,1.27938,1.5925,1.6064334034138,0.377243944162813,0.279170955433354,0.24637558558406,0.465305108464181
"221","oa25","oa25",0.997,24.74718,20.9821666666667,13.85622,14.5954666666667,-0.00300450902029872,3.20871154312917,3.04367287059424,2.62873422929218,2.68071097821537
"222","oa25","oa25",1.994,5.74538,5.21186666666667,2.8941,2.46133333333333,0.690142671539647,1.74839605358672,1.6509380769451,1.06267418186248,0.900703208532441
"223","oa25","oa25",2.991,1.68128,1.9595,1.13004,0.678766666666667,1.09560777964781,0.519555408074983,0.672689338657549,0.122253030327835,-0.387477853093778
"224","oa25","oa25",3.988,0.98644,0.997566666666667,0.583,0.333466666666667,1.38328985209959,-0.0136527764537869,-0.00243629870034984,-0.539568092631645,-1.09821236864678
"225","oa25","oa25",4.985,0.64384,0.690433333333333,0.39226,0.210533333333333,1.6064334034138,-0.440305030950872,-0.37043585918877,-0.935830393748772,-1.55811128526876
"226","oa25","oa25",0.997,25.15172,19.9113,16.04958,12.2645,-0.00300450902029872,3.22492628386931,2.99128740976676,2.77568268100933,2.506708910471
"227","oa25","oa25",1.994,8.4078,6.13333333333333,4.12624,3.03826666666667,0.690142671539647,2.12915984642209,1.81373837594683,1.4173665806743,1.1112871773677
"228","oa25","oa25",2.991,2.57442,2.20503333333333,1.12178,0.829666666666667,1.09560777964781,0.945624266026302,0.790742625942521,0.114916709443243,-0.186731265282655
"229","oa25","oa25",3.988,1.33144,1.21313333333333,0.72342,0.5834,1.38328985209959,0.286261063296334,0.193206544228896,-0.323765312624863,-0.538882221548516
"230","oa25","oa25",4.985,0.88878,0.807233333333333,0.47632,0.4636,1.6064334034138,-0.117905543160121,-0.214142515783791,-0.741665381714671,-0.76873316751654
"231","ya01","ya01",0.997,90.86226,54.1738666666667,47.65192,63.9499,-0.00300450902029872,4.50934473345357,3.99219862734512,3.86392292309746,4.15809996430197
"232","ya01","ya01",1.994,14.80356,11.8409333333333,12.23814,15.3625666666667,0.690142671539647,2.69486769238537,2.47156245517786,2.50455730475266,2.7319338144542
"233","ya01","ya01",2.991,4.25716,4.77303333333333,4.53082,5.9489,1.09560777964781,1.44860227129358,1.56298202172729,1.51090293856616,1.78320632851666
"234","ya01","ya01",3.988,3.91798,4.49736666666667,3.39336,3.31516666666667,1.38328985209959,1.36557621486409,1.50349204030341,1.22182058096956,1.19850789889487
"235","ya01","ya01",4.985,3.73244,4.82636666666667,3.49928,2.91673333333333,1.6064334034138,1.31706217528526,1.57409394166164,1.25255723304757,1.07046426858305
"236","ya01","ya01",0.997,50.27352,40.9537,47.67022,55.2771,-0.00300450902029872,3.9174784971349,3.71244216030775,3.86430688426797,4.01235871788072
"237","ya01","ya01",1.994,10.23622,11.0977666666667,13.9845,14.0832,0.690142671539647,2.32593241083719,2.40674388687341,2.63794957342272,2.64498259763464
"238","ya01","ya01",2.991,4.2674,5.80833333333333,6.24908,6.46046666666667,1.09560777964781,1.45100474248865,1.75929366797848,1.83243425291333,1.86570155460745
"239","ya01","ya01",3.988,2.6234,3.6514,3.6516,4.22156666666667,1.38328985209959,0.964471186398908,1.29511065569727,1.29516542770879,1.4402063071777
"240","ya01","ya01",4.985,2.0625,2.8896,2.67926,3.2321,1.6064334034138,0.723918839226699,1.06111808424053,0.985540636991799,1.17313208077426
"241","ya02","ya02",0.997,59.13872,33.7861,23.49302,24.2852333333333,-0.00300450902029872,4.07988587063245,3.52004947530199,3.15670335575396,3.18986848387728
"242","ya02","ya02",1.994,8.14958,7.7177,6.22502,6.02353333333333,0.690142671539647,2.09796639218253,2.04351639218634,1.82857665519702,1.79567401959065
"243","ya02","ya02",2.991,2.29684,3.06023333333333,3.37676,2.76646666666667,1.09560777964781,0.831534265207725,1.11849116578051,1.21691666988176,1.01757093436483
"244","ya02","ya02",3.988,1.60162,2.0832,2.10374,1.71823333333333,1.38328985209959,0.471015617013338,0.733905173032113,0.743716713095063,0.54129663118108
"245","ya02","ya02",4.985,1.28306,1.76093333333333,1.46234,1.2358,1.6064334034138,0.249247849933641,0.565843971519403,0.380037892429669,0.211718533644742
"246","ya02","ya02",0.997,37.1471,48.3051,36.29962,28.0478666666667,-0.00300450902029872,3.61488570620561,3.8775371451464,3.59180727289645,3.33391257441211
"247","ya02","ya02",1.994,6.4569,8.67233333333333,8.35518,6.7252,0.690142671539647,1.86514932645611,2.16013788184295,2.12288170580093,1.90586166482264
"248","ya02","ya02",2.991,2.5877,3.62753333333333,3.36056,2.8773,1.09560777964781,0.950769450290397,1.288552894799,1.21210762675443,1.05685235441988
"249","ya02","ya02",3.988,1.78238,2.42446666666667,2.66458,2.5564,1.38328985209959,0.577949549862021,0.88561156892954,0.980046446698798,0.93860001879399
"250","ya02","ya02",4.985,1.36486,1.8277,1.78068,1.77776666666667,1.6064334034138,0.311051859274302,0.603058345778259,0.576995313823898,0.57535789488403
"251","ya03","ya03",0.997,28.23132,37.0885,22.53228,22.968,-0.00300450902029872,3.34043199993951,3.61330694851599,3.11494894772607,3.13410194281876
"252","ya03","ya03",1.994,4.51426,5.8487,4.58636,4.81626666666667,0.690142671539647,1.5072412753188,1.76621941432653,1.52308668113671,1.57199907745921
"253","ya03","ya03",2.991,1.80296,2.3696,1.9319,1.8439,1.09560777964781,0.589429758728273,0.862721164531397,0.658503974616371,0.611882893728982
"254","ya03","ya03",3.988,0.92828,1.2783,1.1686,1.14126666666667,1.38328985209959,-0.0744218675675792,0.245531070191839,0.1558064511382,0.132138756690431
"255","ya03","ya03",4.985,0.72666,1.13336666666667,1.00232,0.9998,1.6064334034138,-0.319296586221123,0.125192554286194,0.00231731295516029,-0.000200020002667045
"256","ya03","ya03",0.997,48.1532,39.0566333333333,29.74654,26.0831333333333,-0.00300450902029872,3.87438759501818,3.66501272955081,3.39271282270697,3.26128887299113
"257","ya03","ya03",1.994,6.2977,4.6586,5.07234,4.8205,0.690142671539647,1.84018448737471,1.53871497381512,1.62380224958852,1.5728776571223
"258","ya03","ya03",2.991,2.2414,2.18163333333333,1.94618,1.7735,1.09560777964781,0.807100670635791,0.780073831738223,0.665868476916817,0.57295499523154
"259","ya03","ya03",3.988,1.11396,1.2141,1.11184,1.1123,1.38328985209959,0.107921234217704,0.194003061567792,0.10601630058388,0.106429943615847
"260","ya03","ya03",4.985,0.86356,0.9204,0.85694,0.817166666666667,1.6064334034138,-0.146691899153879,-0.0829469208209262,-0.1543873745039,-0.201912206558959
"261","ya04","ya04",0.997,96.49808,43.3043,41.13232,69.9121666666667,-0.00300450902029872,4.56952311177395,3.76825193723717,3.71679418716747,4.24723969227175
"262","ya04","ya04",1.994,15.86246,9.4778,8.83282,9.74176666666667,0.690142671539647,2.76395531136672,2.24895222182455,2.17847432942788,2.27642248382125
"263","ya04","ya04",2.991,6.34038,6.21106666666667,5.44046,5.3791,1.09560777964781,1.84693870356151,1.82633264716417,1.69386361611648,1.68252107393444
"264","ya04","ya04",3.988,3.7208,3.89083333333333,3.8272,3.89716666666667,1.38328985209959,1.31393869892775,1.35862335919485,1.34213346533412,1.3602497933832
"265","ya04","ya04",4.985,2.42062,2.48526666666667,2.00828,1.8025,1.6064334034138,0.88402370570251,0.910379964321075,0.697278634339394,0.589174590176967
